IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
51.107.211.178,2053,80,false,CPH,Europe,Copenhagen,173,2.66
51.107.211.177,2053,80,false,CPH,Europe,Copenhagen,174,2.66
51.107.211.177,2052,80,false,CPH,Europe,Copenhagen,174,2.65
20.226.170.152,443,0,false,GRU,South America,São Paulo,342,2.64
51.107.211.177,2086,80,false,CPH,Europe,Copenhagen,174,2.62
4.228.9.204,443,0,false,GRU,South America,São Paulo,342,2.61
51.107.211.177,2095,80,false,CPH,Europe,Copenhagen,173,2.60
51.107.211.177,2083,80,false,CPH,Europe,Copenhagen,173,2.58
51.107.211.178,2095,80,false,CPH,Europe,Copenhagen,173,2.57
51.107.211.177,2096,80,false,CPH,Europe,Copenhagen,175,2.57
51.107.211.178,2096,80,false,CPH,Europe,Copenhagen,173,2.54
51.107.211.177,2087,80,false,CPH,Europe,Copenhagen,173,2.52
51.107.211.178,2052,80,false,CPH,Europe,Copenhagen,173,2.51
51.107.211.178,2082,80,false,CPH,Europe,Copenhagen,173,2.49
51.107.211.178,2083,80,false,CPH,Europe,Copenhagen,177,2.49
51.107.211.178,2087,80,false,CPH,Europe,Copenhagen,174,2.47
51.107.211.177,2082,80,false,CPH,Europe,Copenhagen,176,2.45
4.144.161.159,80,80,false,SIN,Asia Pacific,Singapore,19,0.41
20.157.97.123,80,80,false,AMS,Europe,Amsterdam,244,0.35
104.208.64.116,80,0,false,HKG,Asia Pacific,Hong Kong,32,0.30
20.92.32.172,80,0,false,SYD,Oceania,Sydney,85,0.12
104.208.71.2,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.12
52.187.35.233,80,0,false,SIN,Asia Pacific,Singapore,2,0.11
40.115.253.187,8080,0,false,SIN,Asia Pacific,Singapore,67,0.09
20.47.97.179,443,443,true,AMS,Europe,Amsterdam,230,0.09
40.115.253.187,80,0,false,HKG,Asia Pacific,Hong Kong,68,0.09
20.47.97.179,80,80,false,AMS,Europe,Amsterdam,181,0.08
51.116.109.243,80,0,false,FRA,Europe,Frankfurt,154,0.07
20.2.87.94,443,0,false,HKG,Asia Pacific,Hong Kong,39,0.07
20.102.24.191,80,0,false,IAD,North America,Ashburn,226,0.07
20.157.221.56,80,80,false,AMS,Europe,Amsterdam,236,0.07
20.70.120.90,80,0,false,SYD,Oceania,Sydney,85,0.06
20.243.87.182,80,0,false,HKG,Asia Pacific,Hong Kong,67,0.06
172.162.242.200,80,0,false,MXP,Europe,Milan,156,0.05
20.157.97.105,443,443,true,AMS,Europe,Amsterdam,161,0.05
20.157.221.56,443,443,true,AMS,Europe,Amsterdam,197,0.05
20.157.97.104,80,80,false,AMS,Europe,Amsterdam,255,0.05
20.2.87.94,80,0,false,HKG,Asia Pacific,Hong Kong,36,0.04
20.157.97.123,443,443,true,AMS,Europe,Amsterdam,215,0.03
13.94.60.131,80,0,false,HKG,Asia Pacific,Hong Kong,33,0.03
20.86.52.80,80,0,false,AMS,Europe,Amsterdam,157,0.03
137.116.251.154,80,443,false,DUB,Europe,Dublin,167,0.02
20.81.104.97,80,443,false,IAD,North America,Ashburn,233,0.02
13.82.233.190,80,0,false,IAD,North America,Ashburn,226,0.01
40.83.203.12,80,0,false,SJC,North America,San Jose,169,0.01
52.236.148.143,80,0,false,AMS,Europe,Amsterdam,157,0.01
20.240.40.44,80,0,false,CPH,Europe,Copenhagen,178,0.00
20.18.32.188,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
20.89.149.18,80,0,false,NRT,Asia Pacific,Tokyo,67,0.00
